NM_001109147	KLF13
NM_001169120	ZFP91
NM_001169120	ZFP91
NM_001107330	IRX4
NM_001107330	IRX4
NM_001107330	IRX4
NM_012689	ESR1
NM_012689	ESR1
NM_012689	ESR1
NM_012689	ESR1
NM_001108903	PRDM9
NM_001108903	PRDM9
NM_001108903	PRDM9
NM_001107477	ZFP329
NM_001107477	ZFP329
NM_001271339	ZFP74
NM_001271339	ZFP74
NM_001271339	ZFP74
NM_144749	ZFP382
NM_144749	ZFP382
NM_144749	ZFP382
NM_001024286	SPIB
NM_001024286	SPIB
NM_001014035	MEF2A
NM_001014035	MEF2A
NM_001014035	MEF2A
NM_001014035	MEF2A
NM_001106276	CPEB1
NM_012781	ARNT2
NM_001198589	TEAD1
NM_001198589	TEAD1
NM_001198589	TEAD1
NM_024362	ARNTL
NM_001024751	SOX6
NM_001024751	SOX6
NM_001170476	NKX1-2
NM_001170476	NKX1-2
NM_031801	DEAF1
NM_031801	DEAF1
NM_031801	DEAF1
NM_031801	DEAF1
NM_053706	DMRT1
NM_001107597	DMRT2
NM_001012172	RFX3
NM_001012172	RFX3
NM_001012172	RFX3
NM_001012172	RFX3
NM_001012172	RFX3
NM_001012172	RFX3
NM_001012172	RFX3
NM_001191634	GBF1
NM_001191634	GBF1
NM_013160	MXI1
NM_012760	PLAGL1
NM_012760	PLAGL1
NM_012760	PLAGL1
NM_012760	PLAGL1
NM_001106269	OLIG3
NM_001047852	BCLAF1
NM_001047852	BCLAF1
NM_001047852	BCLAF1
NM_001047852	BCLAF1
NM_001032397	TCF21
NM_130417	HEY2
NM_001039505	IRX2
NM_001039505	IRX2
NM_001039505	IRX2
NM_001039505	IRX2
NM_001106209	T
NM_001106209	T
NM_001106209	T
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001004198	TBP
NM_001107471	CNOT3
NM_001108470	MZF1
NM_001108470	MZF1
NM_001108470	MZF1
NM_001304816	PEG3
NM_001304816	PEG3
NM_001304816	PEG3
NM_001304816	PEG3
NM_001134609	ZFP583
NM_001134609	ZFP583
NM_001008557	ZFP667
NM_001008557	ZFP667
NM_001108904	ZFP787
NM_001108904	ZFP787
NM_001126276	ZFP579
NM_001126276	ZFP579
NM_001126276	ZFP579
NM_001106223	FIZ1
NM_001106223	FIZ1
NM_001106223	FIZ1
NM_021855	CRX
NM_021855	CRX
NM_021855	CRX
NM_021855	CRX
NM_021855	CRX
NM_021855	CRX
NM_001108472	MEIS3
NM_001108472	MEIS3
NM_001108472	MEIS3
NM_001108472	MEIS3
NM_001107487	ZFP112
